Restaurant,Reviewer,Review,Rating,Metadata
Pakwaan Grand,Rumana Hameed,good,5,"2 Reviews , 2 Followers"
Pakwaan Grand,Zishan Khan,"Wrong food, wrong bill, no taste, time waste
Insects in food, food raw, when metioned this all to the manager he was reluctant to hear the feedback",1,"2 Reviews , 5 Followers"
Pakwaan Grand,Hemanth Kumar,Wrong Order Received,1,"6 Reviews , 1 Follower"
Pakwaan Grand,Towheed Moneeb,Food was good and the service was too slow we wait for 25 minutes but no one come on out table for the order oftet when we talk with manager he was also with full of attitude. Over all rating 2*,2,"11 Reviews , 14 Followers"
Kritunga Restaurant,Shravan003,"The restaurant is not hygiene. All houseflies around. The staff especially the receptionist was rude when asked about the hygiene. Even if you order food, they don’t provide basic stuff like plastic spoon along with food. Totally disappointed with this restaurant.",1,"4 Reviews , 1 Follower"
Kritunga Restaurant,Alladi Nihar,"Irrespective of their high reputation of being authentic Andhra food restaurant, I was highly disappointed..Tasted Kheema biryani which was not upto the mark..The service was slow.. ambiance was ok..",2,"27 Reviews , 12 Followers"
Kritunga Restaurant,Ankita,"We had picked up Sambar rice to satiate the craving for sambar daal. 
The dish was quite spicy to our tatse but tasted heavenly with curd as side dish. pretty easy on pocket too!",3,"76 Reviews , 211 Followers"
Kritunga Restaurant,Vishnu S,Awesome spicy starters and biryani. Paya was like soup but not thick with spicy peppers. Biryanis varieties are good and they are with spicy touch. Kunda biryani is my favorite here.,4,"69 Reviews , 178 Followers"
Kritunga Restaurant,Pradeep Kumar,Good,5,"0 Reviews , 5 Followers"
Kritunga Restaurant,Karthik Murugesan,Expect qty is slightly low .,4,"1 Review , 1 Follower"
Kritunga Restaurant,Ram Narra,Not upto the mark,1,"1 Review , 1 Follower"
Kritunga Restaurant,Shoukath,Awesome,5,"1 Review , 1 Follower"
Kritunga Restaurant,Laya Maley,very very spicy,3,"0 Reviews , 2 Followers"
Kritunga Restaurant,Raghavendar Kandikonda,"Food for only spicy lovers , be careful my dear mild food people.
Quantity was huge for one person if u r going with biryani, plan for two people",4,"4 Reviews , 3 Followers"
Deli 9 Bistro,Kanak Mishra,"Despite having a prior booking ... They made us sit in the last ,where the AC wasn't sufficient .
The management was too ignorant ... Said the same thing multiple times all to deaf ears .
There's nothing that was too good about it.
The food was below average and too pricy for the portion and taste they serve.
Won't recommend.",1,"1 Review , 4 Followers"
Deli 9 Bistro,Swati Singh,Came here with my Family after 2-3 months and ordered usual chinese combo . They have changed their menu and made it more south Indian than continental like before . In chinese combo they gave us noodles topped with Paneer 65 ( with all curry patta and mustard seeds) This use to be my go to place until last year because of the freindly staff and variety in continental menu . They changed their menu and the new taste is not worth it.,2,"1 Review , 49 Followers"
Deli 9 Bistro,Prashant Banerjee,"disappointed really disappointed. After eating at the original banjara hills outlet, this is a sheer letdown. Loved the banjara hills outlet",3,"26 Reviews , 49 Followers"
Deli 9 Bistro,Moonis Ahmed,"Been here quite a number of times and have tried their varitey of burgers, pizzas and grilled chicken. My all time favourites have been cajun marinated chicken breast and tex-mex burger. It is just the way they cook the meat that it becomes succulent and juicy without losing any of its flavors. I would highly recommend the tex-mex burger. Delicious cheese and patty with vegetables makes one hell of a bite. Their pizzas are also taste worthy. Despite being a non-vegetarian, I really enjoyed their garden veg pizzas with their thin crusts and generous toppings. 

Besides the food, their service is quick and the ambiance is definitely something you can enjoy with your friends and colleagues even on a weekday.

Highly recommended if you are in the area near Wipro circle Gachibowli. 

Ambiance - 4/5
Service - 4/5
Food - 5/5
Value for money - 3/5",4,"160 Reviews , 754 Followers"
Deli 9 Bistro,Payal Khullar,"This place never disappoints me. Never. Totally love the nachos chaat in the starters- prepared warm, crispy with right dose of sour and sweet flavours. Paav bhaji is also very good. In main course, their paneer bhurji combo is my all time favourite. Also must try is Lasagna at this place. Byw, I love how they give you good quantity of food as well. The staff is super courteous.",5,"13 Reviews , 13 Followers"
Deli 9 Bistro,Food Nawabs,"It's all about Food, a small and a ambience filled with memories and good times. Deli9bistro has been revamping it's menu across most of their outlets. From burgers to rice bowls and Noodle bowls too, they've got it all. But once in a while we like to sit back over the amazing Orange Frioska that they whip up and the Mangalore Fried Chicken. Deli9 bistro has some amazing cakes, Burgers and a whole lot of varities to choose from the Menu. A Must Visit place although there is a confusion of choice I clearly declare this as a winner for me. 4/5 is my liking",4,"130 Reviews , 5532 Followers"
Deli 9 Bistro,Namit Agarwal,"Deli 9 Bistro is in front of Holiday inn express and suites hence becomes a perfect fit to order some dinner.

I have ordered one Veggie 9 burger and tried Shawarma wrap and Deli 9 Bistro garden veg pizza in the restaurant it self.

Veggie 9 burger - 3.5/5
Deli 9 Bistro garden Pizza -4.5/5
Shawarma wrap - 3/5

Pizza was very good .It was a thin crust pizza with cheese,sauces and veggies on top of it.
Burger had a Patty with cheese and some Vegetables like cucumber,tomatoes and onions.I found the burger pretty average.

With both burger and wrap,they give some wedges and salad complementary.When I ordered then as well as when I went to their restaurant,the wedges were cold and dry and they were disgusting.I can understand if it was only in the case when I ordered food but how can the restaurant give the customer who have come for dining already prepared wedges.That was seriously not expected from Deli 9 Bistro!!!",3,"179 Reviews , 1877 Followers"
Deli 9 Bistro,Akanksha Sengupta,"This cafe is the centrally located and is the best place to hangout with friends. The cafe has an impressive interior decor and comfy seating area.The cafe has outer seating too which is very spacious and beautifully done up. The cafe serves amazing snacks and drinks which can be enjoyed at a very pocket friendly prices.
No meal can end without sweets, thus to satisfy the sweet tooth, the cafe has a variety of bakery items.
Thus this cafe should be on the must visit eating joint of hyderabad.",4,"9 Reviews , 2 Followers"
Deli 9 Bistro,Sahithi Anchuri,"I have been there here thrice. The food is simply amazing but it's too costly.
Must try : crispy corn , cheesy french fries , deli 9 spl pizza and munchuria noodles lunch combo.
Mocktails : virgin motijo",5,"18 Reviews , 18 Followers"
Deli 9 Bistro,Tarun Attri,Allmost all items we ordered were tasteless. Plus service was average with guy taking orders appeared rude. He was behaving like he is owner and does not care if we come back again or not.,1,"2 Reviews , 1 Follower"
Domino's Pizza,Ankit Anand,In short it was pathetic. They will mark the order as delivered from there side only . Though it will never get delivered to you. Not the first time and there contact is always find not reachable and it seems they have open an outlet under water or inside an elevator.,1,"26 Reviews , 34 Followers"
Domino's Pizza,Anish,cold pizza served,2,"0 Reviews , 1 Follower"
Domino's Pizza,K V Krishna Rao,"According to the message I got from dominos , the delivery executive was supposed to deliver the pizza at the door, despite of me mentioning the complete address, The man came at the wrong place and called me outside. They should never mention door delivery if they wanna deliver it outside.",3,"2 Reviews , 1 Follower"
Domino's Pizza,Gourmet Hunter,"This store maintains the quality & brand name of Domino's. 
Their burger pizza is great in taste. Its perfect balance of spices & the bland bread taste.

Our order was delivered on time and in good condition. Overall its a good experience.",4,"231 Reviews , 407 Followers"
Domino's Pizza,Awadh B Tripathi,overall good,5,"3 Reviews , 4 Followers"
Domino's Pizza,Farhaan Nasir (bankruptfoodie),"Domino's doesn't live up to the standards any more. I ordered a pizza and it was late with a delivery time of 1hour with a promised delivery of 30 Mins. Once I got the pizza it was smashed.. When asked for a refund they said they will give me ""Domino's"" credits. However I didn't get the credits as well. Also I don't want domino's credits. I want my money back. I will never order from dominos again and would advise that they shut down at least this store since they are not able to live up to the standards.
Attached images of the smashed pizza.",1,"107 Reviews , 503 Followers"
Domino's Pizza,Naresh Maroju,satisfied,5,"0 Reviews , 42 Followers"
Domino's Pizza,Sayan Gupta,,5,"2 Reviews , 2 Followers"
Domino's Pizza,Malar Madhav Rao,1 1 pizza was bad an tasteless...it was cold,1,"6 Reviews , 4 Followers"
Domino's Pizza,Shiva Chintu,taste is good..,5,"2 Reviews , 1 Follower"
Hotel Zara Hi-Fi,Sravan Prasanth,I received my life times worst ever noodles from here....got a smell and taste like it is burnt over coal...though it has been two days since I tasted...my buds still remember the taste. Hate that and no response from Zomato for the complaint even now. I don't prefer to order or have something from this place again.,1,"1 Review , 1 Follower"
Hotel Zara Hi-Fi,Meghnasen77,ok ok,2,"7 Reviews , 1 Follower"
Hotel Zara Hi-Fi,Anil PB,"Pocket friendly and taste is ok. Ordered online
Chicken Biryani 4/5
Chilly chicken 4/5
Chicken chatpata 3/5
Can be rated 5 if taste of all the dishes is same.",3,"12 Reviews , 17 Followers"
Hotel Zara Hi-Fi,Ashwini Masaram,"It's good, quick deliveries, i like it, and I used it first time, feels good but need some lemons and onions more, please try to do that 🙂🙂",4,"1 Review , 1 Follower"
Hotel Zara Hi-Fi,Venkat,I like his proportionality,5,"5 Reviews , 13 Followers"
Hotel Zara Hi-Fi,Rahul Chinthala,Hi had vomitings after having the food.,1,"5 Reviews , 33 Followers"
Hotel Zara Hi-Fi,Jadumoni Burhagohain,I'm very happy,5,"1 Review , 1 Follower"
Hotel Zara Hi-Fi,Shiva Kumar,"I ordered Chicken 65 from this restaurant on 19th feb 2019, the quality of the food was not good, i had vomitings immediately after having the food..",1,"1 Review , 2 Followers"
Hotel Zara Hi-Fi,Depak,"Good food ...............
But can you add some more spicy because ur items was not spicy... Like a paneer and chicken curry other wise everything was good.
And service was good.....................................................",5,"2 Reviews , 97 Followers"
Hotel Zara Hi-Fi,Akash Roy,"worst food, unhealthy, chicken was uncooked",1,"1 Review , 2 Followers"
Eat India Company,Jaganthini Padmanabhan,"We had specially requested the waiter to make the paneer dish less spicy .But the dish turned out to be just the opposite .To top this we get a wrong bill to pay :).Mostly our last visit to this restaurant,neither will recommend .",1,"1 Review , 11 Followers"
Eat India Company,Ash Dal,"Visited this place for the good experience we hd earlier at their jubilee hills outlet but at yachi bolu it was a disappointing experience.Purina chutney was sour , methi chicken was bitter. Don't think will visit again. Attitude of service staff was ok.",2,"5 Reviews , 1 Follower"
Eat India Company,Shamekh Siddiqui,"Ambience : Great, perfectly lit and has separate section for smokers.
Food : starters are really good (did not have much variety but were good in taste) , the main course and desert were just like any average buffet. I would say it does have value for money, not that expensive.
Overall : visit if you have tried all the other buffet restaurants and want to to try something new",3,"8 Reviews , 7 Followers"
Eat India Company,Amardeep Dabass,"We went there yesterday for a late lunch. Google showed their closing time and we were going to reach at 3.15, so we called to confirm and they were ok. We ordered a la carte. Though the food was good, it arrived in pieces. For eg the noodles came first and the gravy came only only half the noodles were finished. The server too looked bit tired indicating it was end of his shift. The Virgin Mojito lacked the freshness and felt like fresh lime. 4.5 star for food, 3 star for service.",4,"26 Reviews , 193 Followers"
Eat India Company,Shivali Kamath,"I've been here a couple of times, and I must say, it never disappoints! Everything I've ordered so far has exceeded my expectations everytime. Hara bhara kebab and dal qureshi are a must try. The service is prompt and ambience is great! An overall good experience. One of my favorite place to dine out in Gachibowli.",5,"7 Reviews , 65 Followers"
Eat India Company,Aarti Passi,"Decent Ambience with light music. Taste of food - Not that great, No much Varieties in buffet. In all, it is not worth the money spent.
They really need to keep more varieties.
No salads.
only 3 desserts including ice cream.
So, it was an average experience",3,"8 Reviews , 4 Followers"
Eat India Company,Rishikesh,"One of the most irresponsible staff i have ever seem till now. The only nice thing happened that receptionist guide to the table. After that we waited for almost 10 min but no one attended us even we have called couple of attenders. After some time when we spoke to the manager, we were shocked at the rude response which made us to leave the place",1,"4 Reviews , 1 Follower"
Eat India Company,Sai Prasanth Nandagiri,"Have been to lunch with friends here today, first things, ambiance seems to be pretty good, i think people just carried on ambiance for this location. Serving is damn slow, even though not much of crowd in the restaurant. Price is pretty on a higher side, virgin mojito just tasted as mint lemon drink. We need to ask several times to serve, also when we for main course figured out that few dishes were not served to us which were part of starters, when asked, the same was brought later, Welcome Drink is the one which is served after several remainders and tasted bad. Desserts were not so great and not many. Felt with the cost that was paid this is not much upto mark. All in All pathetic service, you will literally ask 'n' number of times for food which is served on table. Not a wide range of dishes. Taste not so great especially with mock tails. Totally disappointed",2,"14 Reviews , 5 Followers"
Eat India Company,Adheeth Hundi,"Being a foodie and going for a buffet is like craving for a lump sum treat!
But the restaurant has disappointed.
1. Ambience and service was great.
2. We went for buffet , firstly the starters weren't that good at taste. Common panner kebab type of starter, corn , chicken, veg kebab. Well none o them weren't good as having them twice.
3. Main course was a disaster, very few choices that too of rare vegetables and less eaten. No panner the main dish, rice items weren't good. Skipped and went to the desert section.
4. Desserts was like stabbing a dead man. Nothing exciting, only the ice cream was good.

Overall, it is expensive and less satisfying. If you are hungry and looking for a buffet please skip this one.",3,"7 Reviews , 12 Followers"
Eat India Company,SHYAM HANSALIA,So so place. You can visit there if you have zomato gold. Otherwise place does not deserve a special visit. Location is good and food is average.,2,"12 Reviews , 4 Followers"
Banana Leaf Multicuisine Restaurant,Santosh Reddy.R,not good. chicken pieces are fully roasted. Disappointed. Not a good taste.,1,"2 Reviews , 2 Followers"
Banana Leaf Multicuisine Restaurant,Srinivas Rao,"Only one word to describe simply ""Not upto the mark"". they will say 3 non veg starters but they will provide only 2 . Food and customer service could be better.",2,"7 Reviews , 3 Followers"
Banana Leaf Multicuisine Restaurant,Shyam Reddy,"Approach to the hotel could have been better (on the top floor of an old building with smelly ground floor), location could have been better (not very visible from the outside), lift could have been better (pretty old lift, not sure if it passes safety norms), ambience inside the restuarant could have been better (doesnot give you a good vibe)! Thats about the appearance and appeal. Spread was decent for a discounted price of 400 per person inclusive of all taxes, food was ok as well. I could see a lot of smiling faces (familes) and that sums it all. If food is good, then nothing else should matter I guess.",3,"24 Reviews , 8 Followers"
Banana Leaf Multicuisine Restaurant,Sowjanya Lucky,"I frequently visit this place only for lunch buffet good food, budget friendly, family restaurant .love there desserts and ice creams. can give it a try",4,"8 Reviews , 11 Followers"
Banana Leaf Multicuisine Restaurant,Ram Raju,"I really had the best food experience in recent times. If you are not really particular about ambience and crazy foodie. Then this restaurant is a must visit.
Starters outstanding.. biryani delicious.. not but not the least chef killed the soup!!!",5,"30 Reviews , 101 Followers"
Banana Leaf Multicuisine Restaurant,Digvijay Singh,I ordered butter chicken but got paneer,1,"1 Review , 1 Follower"
Banana Leaf Multicuisine Restaurant,Vani MN,please pack it with new cover not the used and provide some tissues.,5,"3 Reviews , 1 Follower"
Banana Leaf Multicuisine Restaurant,The Greedy Hippo,"This outlet has been secluded from the limelight of the Kondapur gachibowli stretch but still manages to garner a decent amount of crowd.

The ambiance is pretty ambivalent with that of a buffet restaurant and casual dining space. It was well lit but could really deck up a few notches. It was more like a corporate dining room rather than a restaurant.

Upon arrival, were served welcome drink which was good but not living up to the expectation. We were asked if we are here for buffet. The restaurant it seems is more concentrated on buffet. I had a look at the menu and it didn't interest me.

The manager at this place was a nice fellow. Who carefully took our order of dragon chicken, punjabi chicken curry, and garlic naan. After a fair bit of waiting time, we're served with dragon chicken.

I would have like the dish to be more crispy and dry, so that the flavours stick to the chicken. It was a hurried preparation of a dish with no amount of time spared for presentation.

The servers need to be taught a little bit about serving. They were fumbling and also were handling hot utensils without using tissue papers.

Then we move on to punjabi chicken curry and garlic naan. Simply put, it was a disaster. The curry was as bland as it could be. Most restaurants in this part of India assume that all dishes of Punjab are made with tandoori chicken and they seriously need to get out of this blind belief. We could only experience the tandoori chicken as the curry had no taste of its own. It was just sitting there doing nothing. Neither it was spicy, not it was tangy. It was going nowhere.

The problem here doesn't lie with the chefs. It lies with the restaurant which is confused in what they are trying to do. They say they are multi cuisine, but multi cuisine doesn't mean, you can make disaster dishes and pass them off. I am not a fan of multi cuisine. When you have such a title, you should at least try to make it work for you. The restaurant is confused whether it should cater to immigrant North Indian population or the traditional South Indian population.

One thing that screams out their confusion about the above is their Buffet menu. They tried to make it a fusion and have ended it making a confusion.

Had the restaurant, been a traditional southern one, I would have been pleased to order a plate of traditional andhra chicken on a banana leaf and would have eaten to my hearts content.

The restaurant needs to find its footing. The owners need to decide which way they want to go. Maybe hire some traditional North Indian guys for North cuisine.

Ambience : 3
Taste: 2
Service :2
Value for money: 2",2,"207 Reviews , 1051 Followers"
Banana Leaf Multicuisine Restaurant,Karan Shrivastava,The last time i went to this restaurent the food was not so good as it was very salty and service was also very slow. I called the waiter to change my dish as it was very salty he did’t change it he just modified it and gave it back. Then i called him again for the same reason then he finally got it replaced and gave me the new dish that was also pathetic. #Nevervisit,1,"1 Review , 57 Followers"
Banana Leaf Multicuisine Restaurant,Praveen Kumar,One of the semi budget buffet restaurant we used to go here for celebrate parties with group of friends . They are more than 30 items of food items almost all are good.,4,"21 Reviews , 4 Followers"
B-Dubs,Ved Mulkalwar,"This is a very overhyped and overpriced place.
The wings are small in size and very shrivelled and the sauces are not that great too. The Jalapeño poppers we undercooked and nachos were very bland. They just have ps4 games and thats the only decent reason to spend any time there.",1,"5 Reviews , 4 Followers"
B-Dubs,Monika Raj,"Food - 3
Service - 3.5
Ambience - 3

The Chicken wings are the best here. We tried Chicken burger and Artichoke dip as well and it was just average. Chicken Patty in chicken burger was dry and not fresh. The Lemon slush was just iced sugar water with few drops of artificial flavor. Overall an okay experience.",3,"19 Reviews , 3 Followers"
B-Dubs,Preethi P,"BDubs continues to be on top in the race of Buffalo fried chicken. The pizzas, burgers, desserts are equally good. The service is friendly and fast. The ambience is amazing and private. The prices are fine. Neither too cheap nor costly. I personally enjoyed my experience and I'll probably visit again. I'll recommend this place specially for parties.",4,"32 Reviews , 20 Followers"
B-Dubs,Abhishekdesai.166,It's good place. Had a good gaming experience. Crazy place to hangout for any sports event. Also gaming experience is amazing on x box. Should try out once,5,"9 Reviews , 3 Followers"
B-Dubs,Sujith Gopireddy,B-dubsssss the best for all food lovers and had a great and good experience visiting and you got a good response from the management is well,4,"9 Reviews , 7 Followers"
B-Dubs,Dinkar Paharia,"Wonderful place,excellent wings especially spicy garlic , Sunny's service was great!great place to have fin.One time visit is required if u live in Hyderabad",5,"3 Reviews , 2 Followers"
B-Dubs,Krishnan Iyer,One of the best sports bar I’ve been to in the country. Their service and the hosting is impeccable. The staff is super friendly and I couldn’t have asked for a better place to spend my sunday here.,5,"2 Reviews , 38 Followers"
B-Dubs,Pratipurna Panda,"Sooo... It's a sports bar. On the side of a busy road , so easily accessible. Very lit... Bright.. a bit too bright for my taste though.
I went on a special day , so there was a live music band playing. But it was too loud. So the brightness and the loud music didn't do justice to so much as setting the mood.

Food was ok, taste wise. But price was on the higher side. Limited variety of food. But they have done some nice experiments with the wings. So , try worthy.

But there are very nice people working there. Very friendly, Nice staff. Service was very good.

Along with that, if the ambiance would be set for proper occasion, then what a hit a road side sports bar would be..!!

Hope to visit again soon.. to a nice ambience 😊",3,"47 Reviews , 145 Followers"
B-Dubs,Venu Gopal Reddy,"Had a wonderful time at bdubs Gachibowli
Stadium feeling with great delicious food and drinks
Thank you Praveen YADAV was god with his service
We will visit again for sure",5,"1 Review , 29 Followers"
B-Dubs,Ashish Tummalapalli,"Wonderful place to chill-out with buddies and can have fun part with PS4 gaming
Food is really awesome and they have different sauces ,blazing is really hot should give a try
Sunny was with us to entertain and giving good experience of bdubs",5,"2 Reviews , 2 Followers"
Tiki Shack,Anupam Jain,Hi.. Really disappointed with the service and staff was rude and not attentive at all.. Seemed like all waiters were already high and had no clue wats going arnd them... Manager was also not very helpful.. But cant blame him with the dumb team.. u cant do much... Ambience is decent but the service is really really poor...,1,"2 Reviews , 2 Followers"
Tiki Shack,Khushboo Pandey,"The only thing I liked about this place is there ambience, it was good other than that everything was just average or below average.
The service at this place is pathetic , we had to call the waiters several time for one small thing also .
It was a pub with no dance floor, people had to manage with whatever place they were getting
The place is known for its beach view but as we went on weekday could not see that
Food- ofcourse no one should expect anything with the food we get in pubs , it was not good here as well
Overall it was not a very good experience at this place",2,"59 Reviews , 42 Followers"
Tiki Shack,Neha Singh,"Amazing indoor and outdoor place to chill. Music is amazing... go for safe choice of food selection, which you are aware of... I visit here all the time for music! Cool crowd. Gotta improve over food and cocktails! Drinks otherwise is good (options)! Two stars less coz they gotta improve over food!",3,"10 Reviews , 9 Followers"
Tiki Shack,Deepak Arora,The ambiance was very nice. It was my first time at this restaurant and it was a good experience overall. We ordered chilly chicken and veg Manchurian and both were upto the expectations for the taste.,4,"24 Reviews , 8 Followers"
Tiki Shack,Akanksha Kaushik,"Food is decent nothing out of the world, yet I am giving this place a 5 stars!!
Good finger food nothing you complain about, but the vibe of the place post 10pm is just electrifying!! The highlight is the desi dhol beats!! Total paisa vasool place.. They don't really have a dance floor but the vibe is so great that every inch which doesn't have a table become a dance floor! Lastly, the decor is very pretty as well!! If you want to party cheap and have a blast, this is the place for you!",5,"6 Reviews , 9 Followers"
Tiki Shack,Kartik Bhardwaj,The place is just the same as they have in Jubilee Hills. The waiting staff is humble and the ambience says the rest... a must visit if you’re in Gachibowli and need a place to chill,4,"4 Reviews , 7 Followers"
Tiki Shack,Anshul Gupta,"A very bad experience. I went here with my team, but the staff made sure that we had the worst experience. The food was cold, served very late. Drinks were of bad quality. Staff behavior was also very bad.",1,"2 Reviews , 3 Followers"
Tiki Shack,Sourav,"The quality of food and drink was really good. What turned out to be the biggest let-down was the service. A few of the waiters are really ignorant. They look for bigger groups to serve and circle around them only. With much effort we got a waiter to come and take our order. After waiting for half an hour, we enquired only to find out that the waiter had not put in the order at all. We got a new waiter to whom we had to re-iterate the whole thing. Although the new waiter was really polite and helpful, but our experience was already ruined. So my humble request is, if you don't like to serve a smaller group, mention it outside and we will definitely avoid your restaurant.",3,"3 Reviews , 4 Followers"
Tiki Shack,Sai Venkatesh,"Nice place, good ambience, crows is ok. Heard jubliee hills branch is better than this. But a nice place to go and hangout. Surely Recommended",4,"4 Reviews , 2 Followers"
Tiki Shack,Rahul Gupta,"Ambience - 4
Music - 4 
Staff - 3 
Drinks - 3 
Food - 4
Hit on wallet - medium
A super-hit club of Jubilee Hills, as per me, is finding hard to live up to its reputation.

Standard Cocktails can be made better. In food, Nachoz is good but don't expect too much non-veg in non-veg nachos - feels more like veg. Achari murg is good and so is garlic bread. 

Music is good and sometimes they bring in Dhol wala to up the spirit

Cheers!",3,"145 Reviews , 674 Followers"
Absolute Sizzlers,Pallavi Mitra,"I ordered a chicken American chopsey, and they gave me this. There was no noodles in it nor soup. The dish was more of a chicken salad. Wrong order delivered.",1,"12 Reviews , 2 Followers"
Absolute Sizzlers,Arun Sharma,"Service was pathetic. Ordered a sizzler with lamb, was told no lamb. Ordered another sizzle with Noodles. It took 15 mins to serve that one. Also, served it with rice instead and when I asked to change, they gave me a noodle differently and that too since they were irritated with lots of chilli sauce. I sweated through first 5 mins and then just left the sizzler as such.

No apologies, nothing from there side. When asked for manager, told me he is not here.

Prakash was not helpful or apologetic, he just denied that he never served it.
Benjamin still was apologetic about the whole goofup.",2,"7 Reviews , 64 Followers"
Absolute Sizzlers,Krishnakanth M,Good sizzler taste. Portion size may be too much for a single person. They were kind enough to share all the sauces extra to mix and have different tastes.,3,"5 Reviews , 1 Follower"
Absolute Sizzlers,Ravi Yogesh,"Visited for lunch today with colleagues and ordered one spicy chicken sizzler combo and two buffets. The buffet comes with veg and non veg sizzler , though without the sides (fries, veggies and noodles/rice). The buffet was decent though not great wrt variety and taste but the sizzler combo left us impressed with very good portions , perfectly cooked fresh chicken fillets loaded with veggies and garlic sauce. Would recommend the sizzler combo over the buffet.",4,"161 Reviews , 201 Followers"
Absolute Sizzlers,Ratan Ray,"Its great palace to dine food was great
Service also good
Ambiance also cool we want visit again
Especially spice chicken sizzlers
Thanks team absolute sizzler

Keep up the good work",5,"1 Review , 2 Followers"
Absolute Sizzlers,Srinivas Ronanki,"Best sizzlers place in Hyderabad

Great food
Wonderful service
Nice ambience we want to visit again
highly recommend
For food

Thankq team absolute sizzles",5,"2 Reviews , 29 Followers"
Absolute Sizzlers,Mani Jha,"I have had high expectations of food there but then my green salad with mint sauce was not very good. While the chicken wings I ordered were nice, but they ruined the American Chopsuey. It was more like eating a soupy noodles than a Chopsuey. I wish they would have made that better.
Ambience was good, staff were okay.",2,"11 Reviews , 5 Followers"
Absolute Sizzlers,Ramyasudha Konda,"Had a bad experience today in Absolute sizzler. Chicken served in the sizzler is half cooked and we left the chicken without eating. Soft Drink served is not chilled its room temperature. The person who served soft drink has not informed us that the drink is not available in chilled temperature, staright way he served it and then informed us that it is no chilled . Overall experience is very bad.",1,"3 Reviews , 1 Follower"
Absolute Sizzlers,Aparajita Deshpande,"I’m sorry but this isn’t the right place for online orders. I did not get my complete order and what I received was also not what I had ordered for! And nothing was done, apart from receiving Z credits, because that is only what zomato can do!
Check your orders before you send it to the customer.",1,"7 Reviews , 4 Followers"
Absolute Sizzlers,Manikanta Gupta Thota,"Ambiance was good here.
Veg Sizzlers we ordered are not upto the mark.
It can be improved more.
Service was also very slow.
Over all it's ok for one time visit.",4,"17 Reviews , 6 Followers"
Faasos,Alok Kumar,Very bad service. Waited for 1 hr 30 min but still order was not delivered. Worst experience with Faasos. No online tracking system. No to fassos ever.,1,"2 Reviews , 1 Follower"
Faasos,Agrima Srivastava,"Was super excited to try out the special Navratri Thali from Faasos. It had Kuttu Aata parathas, Paneer curry, Sabudana vada, and Sabudana Kheer. Honestly, my excitement dropped down after tasting the parathas, as they were too greasy. Paneer curry, on the other hand, was the savior, Vadas were fine and Kheer was up to the mark. What I liked about the thali was that it had more than enough food for 1 person. I am going with 2 stars as the parathas are the base of this thali and I couldn't finish even half of it. I have very high expectations from Fassos and am sure they will take this feedback well and improve on the quality of parathas.",2,"81 Reviews , 196 Followers"
Faasos,Abhishek Pradhan,Small quality but tasty,3,"8 Reviews , 7 Followers"
Faasos,Sonofepicurus,Faasos is a good option to address your quick hunger pangs with options like veg and non veg wraps and various other indian delicacies. The taste will never disappoint you. Their tea is also my personal favourite.Their meat ball wraps and chicken tikka wraps are truly delicious. Ample amount of stuffing to make your tummy full. Must order if you want something quick and not so heavy on your pocket,4,"140 Reviews , 931 Followers"
Faasos,Kiran Thota,"As part of tasting review, ordered masala paneer wrap, jumbo chicken wrap and sigbature rice roasted chicken, you guys rock, well balanced taste , wraps are stuffed with lots of chicken, they are juicy and soft, signature rice is well cooked, packed perfectly, served hot and quick delivered.
Check the packing you will see funny quotations in the wrap boxes, they r funny next time dont miss to read them.
Overall satisfied with the taste and service.
Will visit the store soon. All the best guys.keep going.",5,"78 Reviews , 117 Followers"
Faasos,Siddhesh Patil,"Ordered pizza wrap with offer BOGO. Seemed like they splited one wrap into two. No sauces were added. Never had this bad experience with fasoos before. Surely there quality has degraded. One suggestion for fasoos - if you can not afford to provide offers to your customers, please do not. Stop fooling your customers.",1,"3 Reviews , 4 Followers"
Faasos,Chirag Arora,"So as part of this food tasting festival, I was sent a royal Navratri meal that had paneer makhanwala, singhada aloo paratha, hare tamatar ki sabzi and saabudana vada. It’s an absolute delight for someone who’s fasting during Navratri. Each and every dish was just yum! Even if you’re not fasting you should try this. Slightly overpriced but it’s worth trying. The paneer and paratha were the best part of the thali.",5,"56 Reviews , 276 Followers"
Faasos,Palak Dubey,They confirmed and then changed the menu at the last second.,1,"2 Reviews , 1 Follower"
Faasos,Shashank Vyas,"Zomato has asked me to be polite.. ok.. Faasos is delightfully bad in its food quality... When you order a pizza roll.. they not only bake it like a pizza but they take it to the next level of master culinary skills... They roast it till the end.. just like how your mumma used to make it.. and best part comes next.. Faasos excels in giving surprises and since they handle their own delivery you can never know when your food is going to arrive... It's too much fun to see that status - ""Food is being prepared"" , ""Your food is in the kitchen"".. and they won't update it because the delivery person can come any moment to your doorstep and say Surprise.. In my case they were quick enough to deliver it in only 1 hour 30 minutes... So fast da.. then I remembered food should have been delivered only in 40 minutes... I asked delivery person why so much late da.. He said sir we were cooking your roll property that's why it took time.. open it and try it sir.. you would have never seen such roll.. And he was right.. I never saw the roll only charcoal.. ( attached picture for reference )",1,"2 Reviews , 21 Followers"
Faasos,Soumi Mukherjee,I hace tried faasos a multiple times. I got two wraps through a food review programme. The cheesy melt paneer wrap wasn't cheesy at all. The jumbo chicken wrap was good quantity wise but was very spicy.,3,"55 Reviews , 123 Followers"
